area,<4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85>
E00174677,36,22,17,27,24,21,40,51,33,25,19,16,10,7,10,6,6,2
E00174678,18,17,7,11,31,41,48,30,33,10,10,6,2,5,1,6,4,2
E00174680,13,13,10,15,42,18,24,9,17,17,10,22,4,10,4,4,2,3
E00174681,13,5,7,1,8,65,54,38,26,16,6,16,13,10,9,3,5,4
E00174682,19,22,35,31,24,33,42,38,39,29,36,26,29,26,17,5,5,9
E00174684,22,34,32,21,16,23,38,42,46,36,22,13,8,8,1,3,1,2
E00174685,35,35,24,32,42,30,37,43,36,22,39,19,18,5,5,3,0,0
E00174686,7,5,9,11,33,42,28,21,32,11,11,11,7,2,2,1,1,0
E00174687,32,23,26,12,13,22,39,41,41,31,10,25,3,3,0,0,1,0
E00174688,10,18,19,22,13,9,19,13,28,22,19,22,11,3,5,4,1,3
E00174689,24,26,20,30,22,22,54,43,36,23,20,28,20,8,13,6,2,1
E00174690,18,15,13,9,6,16,29,21,16,25,20,14,21,21,18,16,16,19
E00174691,19,10,15,22,19,20,12,19,9,25,22,22,20,6,6,4,9,6
E00174694,16,22,8,8,14,16,10,11,18,11,20,15,15,4,8,8,3,4
E00174697,25,7,18,21,33,32,25,26,27,18,22,15,16,9,11,11,4,3
E00174698,15,8,10,13,19,26,29,14,13,11,13,19,23,11,8,5,13,6
E00174700,25,6,5,2,10,9,31,30,13,5,8,5,2,6,5,1,1,5
E00174701,19,23,28,32,29,45,27,22,25,38,45,29,24,4,5,6,3,3
E00174703,23,25,20,15,38,35,38,41,32,28,22,21,30,21,19,10,7,2
E00174704,47,33,57,25,26,30,45,37,45,19,28,10,3,6,4,1,3,1
E00174706,14,22,25,13,17,15,16,15,26,20,34,19,13,7,5,1,3,0
E00174707,10,13,17,18,6,11,13,14,20,18,11,11,10,2,3,3,1,0
E00174708,20,34,22,21,23,16,13,23,19,18,22,28,9,8,4,6,10,4
