area,<4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85>
E00081231,23,8,12,12,13,15,7,12,15,17,13,14,18,14,15,9,8,2
E00081232,19,23,28,15,10,26,21,21,20,13,20,10,8,7,12,5,0,2
E00081233,29,39,40,31,16,15,24,33,32,22,27,18,17,7,3,4,2,2
E00081234,33,31,23,22,13,15,37,32,24,20,22,20,15,10,6,3,0,3
E00081235,0,2,1,1,0,4,0,2,1,6,4,17,37,34,53,34,18,10
E00081236,22,18,15,20,22,36,29,23,13,20,28,36,18,38,17,17,11,16
E00081237,33,31,28,29,14,23,21,31,35,22,20,33,35,24,27,15,14,9
E00081238,13,11,14,10,22,12,13,16,14,22,22,19,20,23,23,16,2,3
E00081239,24,23,27,18,12,20,23,18,23,19,18,21,29,31,17,13,3,3
E00081240,5,11,13,11,10,13,6,14,14,23,21,14,15,19,12,9,7,1
E00081241,9,9,17,10,5,10,11,7,10,16,11,22,10,7,20,11,6,6
E00081242,8,36,40,20,19,26,20,39,41,27,28,35,22,25,27,20,10,3
E00081243,14,18,16,23,11,20,17,19,10,20,17,29,16,16,16,13,7,3
E00081244,24,21,14,11,19,20,23,23,18,19,15,29,17,26,25,14,11,1
E00081245,10,15,27,31,29,18,9,12,29,25,39,37,33,13,28,21,9,2
E00081246,15,21,18,31,19,18,10,16,18,21,35,33,23,19,37,20,9,12
E00081247,18,18,13,9,14,19,19,23,27,14,19,30,29,24,26,23,12,9
E00081250,15,14,15,7,17,12,13,20,15,16,11,16,22,27,16,15,10,7
E00081252,22,16,32,23,10,14,10,22,32,21,27,21,15,15,24,17,15,0
E00081253,29,39,26,15,19,54,51,32,27,28,31,22,16,17,23,9,4,3
E00081254,45,32,35,28,27,60,49,49,41,22,23,20,19,17,19,10,7,4
E00081256,9,13,8,15,14,15,14,10,11,13,29,19,15,22,18,24,11,5
E00081257,25,23,20,31,10,22,31,26,30,22,26,19,12,8,13,6,5,9
E00081258,15,20,25,16,25,15,21,21,26,15,23,22,23,21,24,21,11,11
E00081259,11,18,21,18,12,6,13,15,16,13,8,20,19,12,10,2,7,8
E00081260,15,22,16,17,17,12,14,20,19,15,12,16,23,9,11,13,10,4
E00081261,14,21,24,17,15,14,18,19,16,25,15,27,19,12,12,8,4,9
E00081262,12,26,18,12,11,19,21,13,12,23,21,14,18,17,22,9,8,6
E00081263,10,16,12,5,11,10,7,15,11,4,19,13,13,22,30,28,26,9
E00081264,16,14,15,17,10,18,24,14,11,19,11,20,16,14,16,12,5,8
E00081265,9,20,15,7,7,19,15,10,12,12,15,13,13,11,24,14,15,9
E00081266,22,16,16,8,13,31,20,21,28,15,25,26,24,13,13,11,12,7
E00081267,13,15,24,12,16,12,22,15,20,15,26,19,10,8,14,14,15,15
E00081268,6,1,9,16,13,7,6,8,3,12,10,14,19,17,11,7,8,17
E00081269,27,29,10,10,12,16,25,19,17,16,17,17,26,22,12,14,10,8
E00081270,25,19,26,20,25,21,30,13,18,21,26,29,20,20,20,7,4,7
E00081271,26,26,29,22,9,19,28,23,26,27,20,21,21,14,16,11,5,1
E00081272,14,18,25,16,19,12,16,10,29,23,34,30,24,25,38,13,9,7
E00081273,23,36,19,20,18,33,16,31,28,24,25,28,24,16,19,8,3,3
E00081274,5,10,18,6,7,11,12,11,17,13,19,36,22,22,15,8,5,7
E00081275,45,29,25,12,27,41,38,21,19,21,23,30,15,19,13,6,6,1
E00081276,15,17,9,21,14,22,12,10,15,9,33,24,23,14,12,16,10,4
E00081277,18,25,16,25,10,20,12,26,21,27,33,36,33,35,32,21,11,8
E00081278,26,24,11,10,22,28,54,18,17,15,26,16,5,5,6,4,2,0
E00081279,24,40,25,30,21,42,36,37,31,38,26,30,17,15,15,6,2,1
E00081280,19,16,21,16,12,29,33,22,18,21,25,16,25,18,14,13,6,9
E00081281,25,18,11,16,24,32,21,22,24,15,22,24,11,20,11,10,4,4
E00081282,28,21,30,21,14,26,28,20,27,18,28,18,19,12,11,4,1,3
E00081283,12,13,15,18,7,24,16,12,18,17,22,16,26,15,24,7,11,10
E00081284,30,24,25,10,16,17,22,26,21,17,21,14,12,8,4,4,2,3
E00081285,10,11,12,16,12,12,5,11,18,15,12,18,19,22,21,15,9,15
E00081286,21,29,36,17,14,23,26,14,22,15,25,14,24,22,24,10,11,2
E00081287,22,12,17,17,18,17,22,20,19,17,18,19,9,17,12,2,1,1
E00081288,27,33,34,30,33,40,46,22,26,29,21,24,32,21,8,5,3,4
E00081289,26,36,32,17,12,22,32,27,38,26,16,19,27,14,8,8,3,1
E00081290,22,25,22,23,30,23,20,22,20,19,34,28,27,19,13,14,4,4
E00081291,20,28,37,29,16,27,33,21,28,22,23,15,11,18,19,4,5,0
E00081292,20,35,35,35,27,23,25,38,27,27,20,21,19,18,9,4,4,1
E00081293,25,19,9,9,16,36,41,23,13,16,21,21,20,3,10,0,1,2
E00081294,16,12,10,12,9,22,16,20,14,16,17,25,18,9,13,7,8,6
E00081295,35,20,10,9,19,38,41,27,11,9,17,19,10,3,1,0,1,1
E00081296,3,8,9,5,3,2,4,7,12,3,8,11,19,12,24,15,15,19
E00081297,16,21,27,12,18,33,37,20,27,21,12,16,11,12,9,4,3,4
E00081298,22,20,14,12,24,28,41,21,17,12,13,21,25,10,12,4,3,2
E00081299,18,30,26,24,16,15,29,18,24,13,22,28,13,22,17,12,3,2
E00081300,13,18,28,26,24,14,17,13,28,24,32,35,42,22,24,9,6,6
E00081301,31,12,15,17,27,32,41,20,17,22,29,31,20,10,5,7,1,3
E00081302,12,28,25,24,12,26,12,28,21,21,32,32,15,11,14,14,2,2
E00081303,23,17,22,16,27,14,20,21,24,18,21,30,30,15,21,9,7,2
E00081304,22,21,12,9,18,31,32,22,14,19,20,23,9,5,5,3,1,1
E00081305,23,26,23,18,17,38,34,25,30,28,23,20,22,9,11,10,6,0
E00081306,16,25,32,27,24,26,25,23,30,28,34,31,31,24,20,8,3,3
E00081307,17,22,35,22,24,20,18,16,27,19,18,33,20,18,9,6,0,0
E00081308,29,28,33,35,26,37,36,37,30,27,41,39,20,14,11,2,8,6
E00081309,8,15,29,21,15,14,9,10,21,28,28,27,34,28,28,14,10,6
E00081310,15,19,32,20,13,17,25,22,25,23,26,29,23,18,15,12,13,12
E00081311,22,24,16,11,8,22,15,19,22,14,22,14,22,9,14,8,9,12
E00081312,13,14,9,18,14,18,12,16,18,14,20,18,28,20,27,12,21,17
