area,<4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85>
E00061995,11,4,8,11,18,10,13,2,18,19,24,34,32,24,23,8,5,3
E00061997,9,14,12,16,13,9,13,7,15,11,19,33,29,21,31,24,7,6
E00061999,5,7,17,19,12,11,13,8,18,19,23,32,24,20,17,13,10,7
E00062000,12,14,22,20,19,20,15,21,19,37,24,18,26,16,15,16,6,5
E00062001,35,37,39,22,22,18,26,19,27,25,28,24,23,17,11,11,5,3
E00062002,18,29,43,32,23,21,16,29,38,48,34,23,14,23,14,12,5,1
E00062003,8,26,20,17,17,12,16,13,16,20,18,19,25,13,21,10,2,3
E00062004,11,16,19,20,10,10,11,17,16,24,29,22,28,16,28,23,14,12
E00062006,6,4,11,13,7,8,4,7,15,12,27,17,19,21,26,12,14,4
E00062007,16,21,26,20,25,38,29,21,20,38,43,40,27,27,16,8,7,1
E00062008,10,12,27,19,6,14,12,14,15,23,17,17,24,24,16,11,4,3
E00062009,11,12,10,11,7,12,12,9,19,13,23,25,29,25,16,6,12,5
E00062010,12,9,12,14,10,17,13,8,11,16,18,25,20,20,27,16,9,4
E00062011,9,12,15,16,9,8,15,8,13,15,30,19,30,13,28,26,13,11
E00062012,11,10,12,4,18,15,22,13,12,12,21,44,38,24,16,10,1,5
E00062013,19,20,27,16,17,32,21,18,24,25,36,24,26,15,8,4,2,0
E00062014,5,3,7,5,3,7,7,7,15,13,12,16,17,19,9,8,10,14
E00062015,14,21,20,11,11,11,20,28,25,15,14,23,27,12,13,10,8,3
E00062016,10,10,15,18,8,16,9,18,14,16,15,35,32,23,32,10,8,8
E00062017,11,17,19,13,13,10,16,14,17,19,24,30,25,27,37,21,9,10
E00062018,9,7,24,10,8,5,7,12,18,18,26,32,33,29,34,29,19,6
E00062019,11,26,19,15,15,13,6,16,22,22,30,32,48,26,26,11,5,4
E00062020,12,25,25,19,7,14,6,18,29,30,22,27,36,43,27,12,2,4
E00062021,8,12,11,8,11,9,17,14,10,12,24,27,25,10,17,14,13,8
E00062022,7,14,9,4,6,6,10,13,18,12,12,15,30,21,39,28,16,10
E00062023,13,15,22,16,15,21,31,20,11,25,20,16,21,18,15,14,8,4
E00062024,3,13,12,10,9,3,2,11,10,8,15,18,15,14,19,15,15,12
E00062025,10,13,23,16,20,10,10,14,15,22,20,27,18,11,16,12,9,11
E00062026,3,5,7,9,22,14,14,6,11,20,21,16,19,22,12,12,19,3
E00062027,9,11,12,5,13,13,5,9,11,8,14,19,17,23,27,12,12,12
E00062028,11,23,22,21,11,4,13,22,17,24,30,25,38,26,25,15,6,4
E00062029,13,17,28,14,12,17,12,26,17,21,21,28,22,25,29,22,30,20
E00062030,16,13,16,7,9,13,20,10,15,8,14,25,12,16,16,9,6,5
E00062031,3,11,18,10,6,14,14,7,2,19,12,15,12,26,20,12,14,11
E00062032,20,31,21,17,7,20,18,29,18,23,15,20,13,14,10,6,7,3
E00062033,6,13,25,19,12,7,7,14,18,23,18,21,27,33,39,29,13,5
E00062034,3,4,11,9,9,12,11,11,13,13,22,14,27,21,16,9,7,11
E00062035,10,11,11,6,7,10,10,15,13,20,13,16,13,13,18,11,18,26
E00062037,11,19,16,15,3,5,19,12,17,19,22,14,22,36,26,10,6,6
E00062038,15,19,17,14,10,10,18,25,18,22,16,24,25,18,16,12,3,2
E00062039,8,3,5,7,20,16,10,13,9,15,25,16,23,18,15,10,17,6
E00062040,8,6,10,7,20,26,13,12,11,11,25,21,24,20,10,7,9,7
E00062041,6,9,14,19,8,0,3,12,12,15,25,25,17,23,29,36,16,23
E00062042,12,15,20,21,7,8,8,11,19,24,29,21,12,16,22,21,13,8
E00062043,19,18,13,17,24,32,45,27,23,23,40,16,22,21,21,15,11,6
E00062044,8,13,9,10,22,15,19,12,21,19,16,23,22,17,10,6,2,7
E00062045,16,17,12,8,13,18,21,12,15,10,19,18,22,19,14,10,4,7
E00062046,6,8,7,7,9,12,14,14,9,6,14,13,15,12,6,1,1,6
E00062047,22,16,11,14,30,29,20,12,15,19,30,29,17,12,10,8,6,4
E00062048,5,7,4,8,18,20,21,10,6,27,9,10,11,11,6,6,2,1
E00062049,14,10,17,14,12,15,11,17,13,10,22,29,16,25,22,10,5,8
E00062050,9,10,11,5,9,16,14,14,21,14,9,18,26,13,11,15,18,33
E00062051,11,19,20,15,13,16,25,13,18,15,19,25,22,22,12,6,4,3
E00062052,13,15,14,20,23,17,19,24,15,16,22,30,33,17,18,15,19,42
E00062053,12,13,12,6,10,20,26,25,12,12,10,10,9,11,10,10,4,1
E00062054,13,12,12,7,18,30,20,19,11,12,10,19,7,9,11,6,5,5
E00062055,10,15,13,13,12,15,14,21,16,14,11,15,14,15,5,4,3,2
E00062056,2,2,5,4,14,8,22,14,10,8,13,21,17,12,21,7,5,3
E00062057,8,10,8,11,7,6,7,9,7,9,11,16,14,17,31,21,13,11
E00062058,2,1,8,4,25,35,30,9,17,17,22,22,16,17,21,8,15,9
E00062059,1,0,2,2,14,10,3,4,12,6,10,13,24,15,13,6,5,8
E00062060,51,37,43,31,38,38,46,41,32,42,35,23,28,15,18,15,12,6
E00062061,17,13,12,19,24,30,39,18,19,28,17,19,13,14,14,12,4,0
E00062062,22,17,14,15,34,24,26,14,17,16,24,9,14,9,12,6,5,4
E00062064,15,23,21,26,8,24,16,13,23,8,15,16,12,9,4,9,7,4
E00062065,16,21,15,14,24,26,24,25,23,21,20,21,18,15,10,4,0,0
E00062066,13,9,8,22,24,13,19,17,19,11,15,17,18,6,7,3,0,0
E00062067,10,10,8,23,16,21,21,8,16,20,25,18,11,8,8,6,8,16
E00062068,6,9,15,18,25,20,21,21,23,22,25,18,11,5,9,10,3,4
E00062069,13,7,13,13,26,33,20,20,20,20,23,26,9,8,17,10,14,17
E00062070,17,14,21,21,47,43,26,27,25,18,15,14,11,8,6,4,0,0
E00062071,8,10,8,14,18,15,9,16,17,13,25,31,25,10,12,6,6,3
E00062072,33,20,21,19,21,40,34,35,27,32,37,31,29,18,19,10,18,8
E00062073,16,17,24,16,12,26,18,11,24,30,17,26,39,20,7,10,7,11
E00062074,31,35,24,13,13,15,36,47,40,31,21,38,29,23,31,22,11,6
E00062075,9,16,9,14,15,13,14,16,21,14,18,21,22,16,19,19,12,3
E00062076,13,22,35,30,24,20,30,29,23,44,44,54,46,21,20,16,7,10
E00062077,23,23,25,19,14,20,24,19,27,23,24,24,20,21,27,15,13,5
E00062078,5,16,23,24,21,5,7,13,13,31,33,9,13,8,15,11,13,9
E00062079,13,28,38,30,15,17,18,15,17,22,15,16,16,7,9,6,5,5
E00062080,14,8,14,19,12,14,22,11,19,11,29,17,17,18,21,8,5,6
E00062081,19,20,18,17,20,24,26,19,19,26,30,55,10,21,28,12,10,10
E00062082,13,19,19,17,8,10,20,18,27,21,34,13,23,12,10,16,4,10
E00062083,16,27,16,28,18,11,23,21,19,22,21,19,24,16,12,4,4,4
E00062084,10,11,15,16,7,15,9,15,12,13,21,15,26,16,25,19,6,7
E00062085,8,16,10,14,11,16,29,16,11,20,24,29,14,17,17,14,6,11
E00062086,14,17,14,14,10,21,22,20,12,15,20,21,20,16,15,11,10,2
E00062087,13,13,18,15,16,20,24,13,22,36,35,32,34,13,14,6,6,10
E00062088,11,20,15,12,14,13,16,11,16,14,25,18,13,15,20,7,3,8
E00062089,27,22,21,15,8,25,14,13,15,16,12,15,14,11,11,7,11,8
E00062090,21,27,31,18,12,19,18,19,11,32,22,19,13,13,11,10,6,4
E00062091,14,20,17,25,15,17,23,19,18,13,22,29,15,15,8,3,10,2
E00062092,14,12,13,13,13,21,14,7,13,18,28,16,14,17,9,8,8,5
E00062093,11,19,22,18,14,16,20,17,16,23,17,22,14,6,11,12,5,0
E00062094,16,10,8,17,23,20,13,20,13,13,22,25,20,20,17,16,18,25
