msoa,centroid_easting,centroid_northing,station,station_easting,station_northing,postcode,station_postcode_distance,distance_to_msoa_centroid
E02001714,426798.2377,567580.699200001,Four Lane Ends (Tyne and Wear Metro),427048.0,568477.0,NE7 7UJ,1.651525667042099e-06,0.92955532796976
E02001697,426248.3017,560443.68,Felling (Tyne and Wear Metro),427555.0,562120.0,NE100JB,9.481290208174614e-06,2.121968006216292
E02001774,432906.4741,565086.437200001,Jarrow (Tyne and Wear Metro),432505.0,565105.0,NE323NL,1.0505150649476889e-05,0.4006967627547066
E02005507,598856.3093,312113.5244,Dereham (Mid Norfolkway),599352.0,313090.0,NR191DF,1.5571837730785344e-06,1.0934759684069386
E02005505,599101.7029,313742.794500001,Dereham (Mid Norfolkway),599352.0,313090.0,NR191DF,1.5571837730785344e-06,0.6983412743324366
E02001742,433811.2688,572041.8772,West Monkseaton (Tyne and Wear Metro),433485.0,571870.0,NE259SR,6.266706621662097e-06,0.3678336085780604
E02001738,434006.495,573299.9015,Monkseaton (Tyne and Wear Metro),434782.0,572090.0,NE261NW,5.174538117879901e-06,1.4350439708896345
E02002881,451964.8192,342212.1018,Phoenix Park Tram ,453328.0,343804.5,NG8 6AL,3.615365867041819e-05,2.0929636817611237
E02004978,509759.9585,195514.9981,Watford Underground,509579.5,196597.0,WD187LE,1.1015838592401967e-06,1.0964851656694827
E02001725,427190.9413,565666.4625,Chillingham Road (Tyne and Wear Metro),427510.0,565442.0,NE6 2XB,6.376654117618235e-06,0.38922396702883283
E02002633,331846.7928,442017.257300001,Anchorsholme (Blackpool Tramway),331536.0,442192.3333333333,FY5 1LZ,7.739823244874536e-06,0.3558362433377633
E02003254,514816.2429,296343.3916,Ferry Meadows (Nene Valleyway),515187.0,297046.0,PE2 0UU,2.0918465894970388e-05,0.7935352745154124
E02001805,437453.8214,556202.569399999,Millfield (Tyne and Wear Metro),438485.0,557038.0,SR4 7EW,6.646158963499704e-06,1.3242825093444572
E02001775,438590.6853,564866.1752,Chichester (Tyne and Wear Metro),436455.0,565905.0,NE334JB,5.851268836103339e-06,2.36882133173145
E02002904,455360.2319,333695.2247,Holy Trinity Tram ,455175.0,333599.3333333333,NG119DN,8.528257860969833e-06,0.20807594194019738
E02002645,330869.5556,434435.3301,St Chad's (Blackpool Tramway),330575.3333333333,434531.0,FY1 6AF,1.2547513987443485e-05,0.30852429528778313
E02001722,419264.6077,566262.119000001,Bank Foot (Tyne and Wear Metro),420683.0,568877.0,NE138AD,5.90286951043816e-06,2.970931214106835
E02004531,546026.2306,202610.274599999,Epping Underground,546188.5,201555.0,CM164HW,2.9440280235215082e-06,1.0671121565555264
E02005330,334453.9751,441777.223999999,Cleveleys (Blackpool Tramway),331739.6666666667,442880.6666666667,FY5 2AA,6.950991293418208e-06,2.9221747083605374
E02007100,425706.018,564438.756200001,Manors (Tyne and Wear Metro),425394.0,564450.0,NE1 2SL,8.003367089036476e-06,0.31128434880768185
E02005573,608401.9474,338968.2914,Holt (North Norfolkway),609425.0,339460.0,NR256FR,3.07250952521588e-05,1.1316398245065422
E02001752,433276.0719,569687.8411,West Monkseaton (Tyne and Wear Metro),433485.0,571870.0,NE259SR,6.266706621662097e-06,2.190324740009027
E02001769,436252.7799,566085.412900001,Chichester (Tyne and Wear Metro),436455.0,565905.0,NE334JB,5.851268836103339e-06,0.27045606866328264
E02001786,436659.9903,563028.941299999,East Boldon (Tyne and Wear Metro),437190.0,561492.0,NE360EX,1.7187443966907013e-05,1.624105411024052
E02001761,430401.5592,568062.9811,Hadrian Road (Tyne and Wear Metro),431071.0,566512.0,NE286PS,1.6150963020018706e-05,1.6873746698024215
E02001766,430397.1736,566821.898600001,Wallsend (Tyne and Wear Metro),430023.0,566213.0,NE286SS,6.330144778426319e-06,0.7136665221275088
E02002897,451788.898,339322.214199999,University Boulevard Tram ,453724.6666666667,337497.0,NG9 2LD,1.2031379163772142e-05,2.6559383142523845
E02007104,423205.5013,563776.4486,St James (Tyne and Wear Metro),424360.0,564450.0,NE1 4TP,1.3385785156830004e-05,1.33334180858859
