Location ID,Location HSCA start date,Care home?,Location Name,Location Region,Location Local Authority,Location Street Address,Location City,Location Postal Code,Location Latitude,Location Longitude,Location Parliamentary Constituency,Provider Nominated Individual Name,"Regulated activity - Treatment of disease, disorder or injury",Service type - Care home service with nursing,Service type - Care home service without nursing,Service user band - Children 0-18 years,Service user band - Dementia,Service user band - Learning disabilities or autistic spectrum disorder,Service user band - Mental Health,Service user band - Older People,Service user band - Physical Disability,Service user band - Sensory Impairment,Service user band - Younger Adults,num_values_found,num_values_found.1,lad,msoa,area,Care homes beds,occupancy_mean,%occupancy_mean,probability_mean,occupancy_std,%occupancy_std,probability_std
1-999096321,2013-10-20,Y,Eden House,North East,County Durham,Cockton Hill Road,Bishop Auckland,DL14 6EN,54.656247,-1.67673,Bishop Auckland,"Hall, Antony",,,Y,,Y,,Y,Y,Y,Y,,2,2,E06000047,E02004353,E00106009,53,50.0,95.0,0.95507,1.0,1.3342,0.02695
RX3X5,2013-11-20,Y,Durham and Darlington Crisis and Recovery House,North East,County Durham,26 Middleton Road,Shildon,DL4 1NN,54.627162,-1.646107,Bishop Auckland,"Moody, Elizabeth",,,Y,,,Y,Y,Y,,,Y,0,0,E06000047,E02004340,E00105565,9,3.0,34.261417472300124,,,,
1-105311568,2010-12-15,Y,Beachville West End,North East,Northumberland,Beachville Care Home,Newbiggin-by-the-sea,NE64 6XD,55.180019,-1.516076,Wansbeck,*,,,Y,,Y,Y,,Y,,,Y,6,6,E06000057,E02005734,E00140194,13,12.0,95.0,0.93365,1.0,6.2807,0.08533
1-107271282,2010-10-01,Y,Burn Brae Lodge,North East,Northumberland,Prospect Hill,Corbridge,NE45 5RU,54.956968,-2.013617,Hexham,"Howard, Paul",,,Y,,Y,,,Y,,,,4,4,E06000057,E02007107,E00139983,31,16.0,51.0,0.80774,14.0,43.9448,0.20751
1-107972385,2010-12-22,Y,Charlotte Straker House,North East,Northumberland,Cookson Close,Corbridge,NE45 5HB,54.977043,-2.019686,Hexham,"Groves, Berenice",Y,Y,,,Y,,,Y,,Y,Y,2,2,E06000057,E02007107,E00139861,32,26.0,83.0,0.97443,5.0,15.468,0.01344
1-108376838,2010-12-03,Y,Calvert Trust Kielder,North East,Northumberland,Kielder Water and Forest Park,Hexham,NE48 1BS,55.152262,-2.579805,Hexham,"Appleby, Kevin",,,Y,,,Y,,Y,Y,Y,Y,3,3,E06000057,E02005727,E00140008,20,8.0,40.0,0.82987,3.0,17.3205,0.05911
1-109140632,2011-01-20,Y,Bailiffgate,North East,Northumberland,16 Bailiffgate,Alnwick,NE66 1LX,55.4162,-1.709448,Berwick-upon-Tweed,"Head, Amanda",,,Y,,,Y,,,,Y,,3,3,E06000057,E02005703,E00139190,11,9.0,82.0,0.92158,1.0,9.0909,0.06797
1-1092989859,2013-12-31,Y,Thornley Leazes Care,North East,Northumberland,Thornley Leazes,Hexham,NE47 9NH,54.899878,-2.264714,Hexham,*,,,Y,,Y,Y,,Y,,,Y,2,2,E06000057,E02005733,E00139839,12,14.0,121.0,0.82255,4.0,29.4628,0.02462
1-109729425,2010-12-14,Y,Beresford lodge Residential Care Home,North East,Northumberland,88 Beresford Road,Whitley Bay,NE26 4RJ,55.076137,-1.467072,Blyth Valley,*,,,Y,,Y,,,Y,,,,3,3,E06000057,E02005717,E00139531,26,15.0,59.0,0.97043,1.0,2.2206,0.01704
1-112056342,2010-10-01,Y,Hepscott Care Centre,North East,Northumberland,Choppington Road,Morpeth,NE61 6NX,55.160531,-1.664002,Wansbeck,"Burns, Philippa",,,Y,,Y,,,Y,,,,4,4,E06000057,E02005722,E00190068,40,28.0,70.0,0.76195,3.0,7.3598,0.25662
1-112056359,2010-10-01,Y,Haydon View Residential Home,North East,Northumberland,North Bank,Hexham,NE47 6NA,54.976301,-2.259062,Hexham,"Burns, Philippa",,,Y,,,,,Y,,,,4,4,E06000057,E02005733,E00139900,27,20.0,72.0,0.91941,5.0,20.173,0.07148
1-112448479,2010-10-01,Y,Acomb Court,North East,Northumberland,Maidens Walk,Hexham,NE46 1EN,54.968741,-2.093175,Hexham,"Hall, Antony",Y,Y,,,Y,,,Y,Y,Y,,3,3,E06000057,E02005730,E00139928,76,62.0,82.0,0.83189,13.0,17.1221,0.25094
1-112469373,2010-10-01,Y,Hartford Court,North East,Northumberland,Cumbrian Road,Cramlington,NE23 1DA,55.08747,-1.58069,Blyth Valley,"Hall, Antony",,,Y,,Y,,,Y,Y,Y,,4,4,E06000057,E02005715,E00139496,68,56.0,82.0,0.92696,10.0,14.6322,0.04582
1-112469407,2010-10-01,Y,Foxton Court,North East,Northumberland,Morpeth Cottage Hospital,Morpeth,NE61 2BT,55.158354,-1.691879,Wansbeck,"Hall, Antony",,,Y,,Y,,,Y,Y,Y,Y,2,2,E06000057,E02005724,E00139751,77,44.0,57.0,0.92362,3.0,3.6733,0.01575
1-112749390,2011-01-17,Y,The Grange,North East,Northumberland,Church Road,Alnwick,NE66 3RR,55.459558,-1.668269,Berwick-upon-Tweed,"Fitton, Simon",,,Y,,Y,,,Y,,,Y,3,3,E06000057,E02005702,E00139254,27,25.0,93.0,0.93528,1.0,3.7037,0.05964
1-112797176,2010-12-30,Y,Close House Nursing and Residential Care Home,North East,Northumberland,Close House,Hexham,NE46 1ST,54.927507,-2.099305,Hexham,*,Y,Y,,,Y,,,Y,,,,3,3,E06000057,E02005733,E00139987,22,17.0,77.0,0.86645,4.0,19.8132,0.09765
1-114109425,2011-02-15,Y,No 11&12 Third Row,North East,Northumberland,11 & 12 Third Row,Morpeth,NE61 5SB,55.215159,-1.587178,Berwick-upon-Tweed,*,,,Y,,,Y,,,,,,4,4,E06000057,E02005720,E00139687,4,3.0,81.0,0.99874,0.0,12.5,0.00076
1-115191816,2011-01-18,Y,Turret Villa Retirement Home,North East,Northumberland,Etal Road,Berwick Upon Tweed,TD15 2EG,55.760436,-2.010842,Berwick-upon-Tweed,"Kilmartin, Denis",,,Y,,,,,Y,,,,5,5,E06000057,E02005706,E00139362,35,28.0,79.0,0.96128,2.0,6.2597,0.04618
1-116958461,2010-12-15,Y,Albury House,North East,Northumberland,17-19 Tweed Street,Berwick Upon Tweed,TD15 1NG,55.772491,-2.009421,Berwick-upon-Tweed,*,,,Y,,Y,,,Y,,,,5,5,E06000057,E02005707,E00139324,12,11.0,90.0,0.98121,0.0,3.7268,0.01063
