area,<4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85>
E00072892,19,12,18,21,24,20,23,34,21,24,23,23,14,12,6,6,3,4
E00072894,8,6,12,19,15,10,3,9,17,14,23,15,21,19,18,25,10,13
E00072895,11,11,9,34,38,20,9,14,9,17,11,12,15,10,19,11,10,13
E00072896,19,12,20,20,32,29,36,20,18,21,35,20,15,10,16,8,4,2
E00072897,23,16,29,25,33,14,31,24,19,29,25,22,21,18,21,17,8,3
E00072898,16,22,24,16,68,35,36,19,16,25,15,13,21,13,17,19,6,13
E00072899,31,28,9,15,19,18,25,43,30,21,23,20,10,15,8,8,2,6
E00072900,14,18,15,23,31,14,37,20,21,21,24,18,22,19,12,5,3,11
E00072901,28,30,25,35,27,35,28,26,20,24,33,29,16,8,3,0,2,0
E00072902,7,14,7,25,33,9,9,14,14,18,16,21,18,13,23,13,9,4
E00072903,15,15,11,14,32,21,9,16,17,17,17,21,17,13,28,16,6,14
E00072904,21,5,10,15,32,17,19,16,15,13,11,13,22,16,15,18,16,17
E00072905,15,21,23,20,26,13,19,20,18,14,32,24,31,18,11,18,14,5
E00072906,23,22,27,20,25,12,31,22,19,22,11,18,22,12,17,12,10,4
E00072907,14,15,13,20,48,21,20,19,13,13,15,11,15,13,19,10,12,32
